	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	ko_id	kegg_hit	viral_id	viral_hit	viral_RBH	viral_identity	viral_bitScore	viral_eVal	peptidase_id	peptidase_family	peptidase_hit	peptidase_RBH	peptidase_identity	peptidase_bitScore	peptidase_eVal	pfam_hits	cazy_ids	cazy_hits	cazy_subfam_ec	cazy_best_hit	vogdb_id	vogdb_hits	vogdb_categories	heme_regulatory_motif_count	virsorter_category	auxiliary_score	is_transposon	amg_flags
RP-T1-3_contig.fa_viral_701__full-cat_2_3	final-viral-combined-for-dramv	RP-T1-3_contig.fa_viral_701__full-cat_2	3	1952	2269	1	E																								0	2	4	False	F
RP-T1-3_contig.fa_viral_701__full-cat_2_4	final-viral-combined-for-dramv	RP-T1-3_contig.fa_viral_701__full-cat_2	4	2256	2498	1	E																								0	2	4	False	F
RP-T1-3_contig.fa_viral_701__full-cat_2_5	final-viral-combined-for-dramv	RP-T1-3_contig.fa_viral_701__full-cat_2	5	2483	2731	1	E																								0	2	4	False	F
RP-T1-3_contig.fa_viral_701__full-cat_2_6	final-viral-combined-for-dramv	RP-T1-3_contig.fa_viral_701__full-cat_2	6	2732	2932	1	E																								0	2	4	False	F
RP-T1-3_contig.fa_viral_701__full-cat_2_7	final-viral-combined-for-dramv	RP-T1-3_contig.fa_viral_701__full-cat_2	7	2932	3057	1	E																								0	2	4	False	F
RP-T1-3_contig.fa_viral_701__full-cat_2_8	final-viral-combined-for-dramv	RP-T1-3_contig.fa_viral_701__full-cat_2	8	3054	3281	1	E																								0	2	4	False	F
RP-T1-3_contig.fa_viral_701__full-cat_2_9	final-viral-combined-for-dramv	RP-T1-3_contig.fa_viral_701__full-cat_2	9	3235	3492	1	E																								0	2	5	False	F
RP-T1-3_contig.fa_viral_703__lt2gene-cat_1_1	final-viral-combined-for-dramv	RP-T1-3_contig.fa_viral_703__lt2gene-cat_1	1	1	1926	1	D																Baseplate J-like protein [PF04865.17]								0	0	5	False	F
RP-T1-3_contig.fa_viral_703__lt2gene-cat_1_2	final-viral-combined-for-dramv	RP-T1-3_contig.fa_viral_703__lt2gene-cat_1	2	1923	3077	1	E																								0	2	5	False	F
RP-T1-3_contig.fa_viral_705__full-cat_2_1	final-viral-combined-for-dramv	RP-T1-3_contig.fa_viral_705__full-cat_2	1	436	915	1	E																								0	2	5	False	F
RP-T1-3_contig.fa_viral_705__full-cat_2_2	final-viral-combined-for-dramv	RP-T1-3_contig.fa_viral_705__full-cat_2	2	1156	1506	1	E																								0	2	4	False	F
RP-T1-3_contig.fa_viral_705__full-cat_2_3	final-viral-combined-for-dramv	RP-T1-3_contig.fa_viral_705__full-cat_2	3	1974	2819	1	D			YP_001552358.1	YP_001552358.1 integrase [Mycobacterium phage Giles]	False	0.29	114.0	1.3450000000000002e-26								Phage integrase family [PF00589.25]					VOG00056	sp|P22877|INTR_SACER Integrase; XhXr	Xr;Xh	0	1	5	False	VF
RP-T1-3_contig.fa_viral_708__full-cat_1_1	final-viral-combined-for-dramv	RP-T1-3_contig.fa_viral_708__full-cat_1	1	1	1227	-1	E																								0	2	5	False	F
RP-T1-3_contig.fa_viral_708__full-cat_1_2	final-viral-combined-for-dramv	RP-T1-3_contig.fa_viral_708__full-cat_1	2	1224	1754	-1	E																								0	2	4	False	F
RP-T1-3_contig.fa_viral_708__full-cat_1_3	final-viral-combined-for-dramv	RP-T1-3_contig.fa_viral_708__full-cat_1	3	1784	2287	-1	E																								0	2	4	False	F
RP-T1-3_contig.fa_viral_708__full-cat_1_4	final-viral-combined-for-dramv	RP-T1-3_contig.fa_viral_708__full-cat_1	4	2341	3219	-1	E			NP_861672.2	NP_861672.2 tail sheath [Halophage HF1]	False	0.245	66.0	1.405e-10													VOG01001	sp|P85225|VPN1_BPPHE Putative tail sheath protein; Xs	Xs	0	0	5	False	VF
RP-T1-3_contig.fa_viral_712__full-cat_1_1	final-viral-combined-for-dramv	RP-T1-3_contig.fa_viral_712__full-cat_1	1	290	958	-1	E																								0	2	5	False	F
RP-T1-3_contig.fa_viral_712__full-cat_1_2	final-viral-combined-for-dramv	RP-T1-3_contig.fa_viral_712__full-cat_1	2	974	1678	-1	E																								0	0	4	False	F
RP-T1-3_contig.fa_viral_712__full-cat_1_3	final-viral-combined-for-dramv	RP-T1-3_contig.fa_viral_712__full-cat_1	3	1728	1955	-1	E																								0	2	2	False	F
RP-T1-3_contig.fa_viral_712__full-cat_1_4	final-viral-combined-for-dramv	RP-T1-3_contig.fa_viral_712__full-cat_1	4	1952	2593	-1	E																								0	1	4	False	F
RP-T1-3_contig.fa_viral_712__full-cat_1_5	final-viral-combined-for-dramv	RP-T1-3_contig.fa_viral_712__full-cat_1	5	2590	2910	-1	E																								0	2	4	False	F
RP-T1-3_contig.fa_viral_712__full-cat_1_6	final-viral-combined-for-dramv	RP-T1-3_contig.fa_viral_712__full-cat_1	6	2907	3131	-1	D																'Cold-shock' DNA-binding domain [PF00313.25]								0	2	5	False	F
RP-T1-3_contig.fa_viral_713__full-cat_1_1	final-viral-combined-for-dramv	RP-T1-3_contig.fa_viral_713__full-cat_1	1	1	807	1	E																								0	2	5	False	F
RP-T1-3_contig.fa_viral_713__full-cat_1_2	final-viral-combined-for-dramv	RP-T1-3_contig.fa_viral_713__full-cat_1	2	804	1352	1	D																Type VI secretion system/phage-baseplate injector OB domain [PF04717.15]								0	0	4	False	F
RP-T1-3_contig.fa_viral_713__full-cat_1_3	final-viral-combined-for-dramv	RP-T1-3_contig.fa_viral_713__full-cat_1	3	1352	1684	1	D																Domain of unknown function (DUF4280) [PF14107.9]								0	2	1	False	F
RP-T1-3_contig.fa_viral_713__full-cat_1_4	final-viral-combined-for-dramv	RP-T1-3_contig.fa_viral_713__full-cat_1	4	1681	2067	1	C	K06903	uncharacterized protein														Baseplate wedge protein gp25 [PF04965.17]								0	0	1	False	F
RP-T1-3_contig.fa_viral_713__full-cat_1_5	final-viral-combined-for-dramv	RP-T1-3_contig.fa_viral_713__full-cat_1	5	2064	4475	1	D																Baseplate J-like protein [PF04865.17]								0	0	1	False	F
RP-T1-3_contig.fa_viral_713__full-cat_1_6	final-viral-combined-for-dramv	RP-T1-3_contig.fa_viral_713__full-cat_1	6	4472	7072	1	D																Baseplate J-like protein [PF04865.17]								0	0	4	False	F
RP-T1-3_contig.fa_viral_713__full-cat_1_7	final-viral-combined-for-dramv	RP-T1-3_contig.fa_viral_713__full-cat_1	7	7065	7862	1	D																Phage tail protein (Tail_P2_I) [PF09684.13]								0	2	5	False	F
RP-T1-3_contig.fa_viral_719__full-cat_2_1	final-viral-combined-for-dramv	RP-T1-3_contig.fa_viral_719__full-cat_2	1	1	1686	-1	E																								0	2	5	False	F
RP-T1-3_contig.fa_viral_719__full-cat_2_2	final-viral-combined-for-dramv	RP-T1-3_contig.fa_viral_719__full-cat_2	2	1699	3369	-1	E																								0	1	5	False	F
RP-T1-3_contig.fa_viral_724__full-cat_1_1	final-viral-combined-for-dramv	RP-T1-3_contig.fa_viral_724__full-cat_1	1	58	465	1	E																								0	2	5	False	F
RP-T1-3_contig.fa_viral_724__full-cat_1_2	final-viral-combined-for-dramv	RP-T1-3_contig.fa_viral_724__full-cat_1	2	483	1067	1	E																								0	1	4	False	F
RP-T1-3_contig.fa_viral_724__full-cat_1_3	final-viral-combined-for-dramv	RP-T1-3_contig.fa_viral_724__full-cat_1	3	1067	1270	1	E																								0	2	2	False	F
RP-T1-3_contig.fa_viral_724__full-cat_1_4	final-viral-combined-for-dramv	RP-T1-3_contig.fa_viral_724__full-cat_1	4	1267	1584	1	D			YP_009593417.1	YP_009593417.1 head closure Hc1 [Paenibacillus phage Willow]	False	0.36	65.0	3.611e-12								Phage head-tail joining protein [PF05521.14]					VOG00080	sp|O48446|HCP16_BPSPP Head completion protein gp16; XpXrXs	Xs;Xr;Xp	0	0	2	False	VF
RP-T1-3_contig.fa_viral_724__full-cat_1_5	final-viral-combined-for-dramv	RP-T1-3_contig.fa_viral_724__full-cat_1	5	1581	2006	1	D																Bacteriophage HK97-gp10, putative tail-component [PF04883.15]; Phage virion morphogenesis family [PF05069.16]					VOG00130	REFSEQ tail completion or Neck1 protein; Xu	Xu	0	0	1	False	F
RP-T1-3_contig.fa_viral_724__full-cat_1_6	final-viral-combined-for-dramv	RP-T1-3_contig.fa_viral_724__full-cat_1	6	2003	2413	1	D																Protein of unknown function (DUF3168) [PF11367.11]								0	2	1	False	F
RP-T1-3_contig.fa_viral_724__full-cat_1_7	final-viral-combined-for-dramv	RP-T1-3_contig.fa_viral_724__full-cat_1	7	2410	2634	1	E																								0	2	1	False	F
RP-T1-3_contig.fa_viral_724__full-cat_1_8	final-viral-combined-for-dramv	RP-T1-3_contig.fa_viral_724__full-cat_1	8	2631	2816	1	E																								0	2	1	False	F
RP-T1-3_contig.fa_viral_724__full-cat_1_9	final-viral-combined-for-dramv	RP-T1-3_contig.fa_viral_724__full-cat_1	9	2865	3305	1	E																								0	1	1	False	F
RP-T1-3_contig.fa_viral_724__full-cat_1_10	final-viral-combined-for-dramv	RP-T1-3_contig.fa_viral_724__full-cat_1	10	3372	3884	1	E																								0	1	1	False	F
RP-T1-3_contig.fa_viral_724__full-cat_1_11	final-viral-combined-for-dramv	RP-T1-3_contig.fa_viral_724__full-cat_1	11	4140	6887	1	E			NP_835564.1	NP_835564.1 hypothetical protein SA1766 [Staphylococcus phage phiN315]	False	0.385	175.0	6.061e-43																0	0	5	False	F
RP-T1-3_contig.fa_viral_728__full-cat_1_1	final-viral-combined-for-dramv	RP-T1-3_contig.fa_viral_728__full-cat_1	1	163	744	1	E																								0	1	5	False	F
RP-T1-3_contig.fa_viral_728__full-cat_1_2	final-viral-combined-for-dramv	RP-T1-3_contig.fa_viral_728__full-cat_1	2	744	1118	1	E																								0	1	2	False	F
RP-T1-3_contig.fa_viral_728__full-cat_1_3	final-viral-combined-for-dramv	RP-T1-3_contig.fa_viral_728__full-cat_1	3	1156	2130	1	E			YP_010082538.1	YP_010082538.1 major head protein [Arthrobacter phage LiSara]	False	0.449	256.0	2.521e-74													VOG10432	sp|Q6QIB5|CAPSD_BPBMU Major capsid protein; XhXs	Xs;Xh	0	0	3	False	VF
RP-T1-3_contig.fa_viral_728__full-cat_1_4	final-viral-combined-for-dramv	RP-T1-3_contig.fa_viral_728__full-cat_1	4	2130	2582	1	E																								0	2	2	False	F
RP-T1-3_contig.fa_viral_728__full-cat_1_5	final-viral-combined-for-dramv	RP-T1-3_contig.fa_viral_728__full-cat_1	5	2579	2932	1	E																								0	2	2	False	F
RP-T1-3_contig.fa_viral_728__full-cat_1_6	final-viral-combined-for-dramv	RP-T1-3_contig.fa_viral_728__full-cat_1	6	2954	3262	1	E																								0	2	2	False	F
RP-T1-3_contig.fa_viral_728__full-cat_1_7	final-viral-combined-for-dramv	RP-T1-3_contig.fa_viral_728__full-cat_1	7	3259	3669	1	E																								0	2	2	False	F
RP-T1-3_contig.fa_viral_728__full-cat_1_8	final-viral-combined-for-dramv	RP-T1-3_contig.fa_viral_728__full-cat_1	8	3669	4031	1	E																								0	1	4	False	F
RP-T1-3_contig.fa_viral_728__full-cat_1_9	final-viral-combined-for-dramv	RP-T1-3_contig.fa_viral_728__full-cat_1	9	4033	4476	1	E																								0	2	4	False	F
RP-T1-3_contig.fa_viral_728__full-cat_1_10	final-viral-combined-for-dramv	RP-T1-3_contig.fa_viral_728__full-cat_1	10	4495	4566	1	E																								0	2	5	False	F
RP-T1-3_contig.fa_viral_738__full-cat_2_1	final-viral-combined-for-dramv	RP-T1-3_contig.fa_viral_738__full-cat_2	1	86	301	1	E																								0	2	5	False	F
RP-T1-3_contig.fa_viral_738__full-cat_2_2	final-viral-combined-for-dramv	RP-T1-3_contig.fa_viral_738__full-cat_2	2	288	545	1	E																								0	2	4	False	F
RP-T1-3_contig.fa_viral_738__full-cat_2_3	final-viral-combined-for-dramv	RP-T1-3_contig.fa_viral_738__full-cat_2	3	542	865	1	E																								0	2	4	False	F
RP-T1-3_contig.fa_viral_738__full-cat_2_4	final-viral-combined-for-dramv	RP-T1-3_contig.fa_viral_738__full-cat_2	4	862	1050	1	E																								0	2	4	False	F
RP-T1-3_contig.fa_viral_738__full-cat_2_5	final-viral-combined-for-dramv	RP-T1-3_contig.fa_viral_738__full-cat_2	5	1047	1301	1	E																								0	2	4	False	F
RP-T1-3_contig.fa_viral_738__full-cat_2_6	final-viral-combined-for-dramv	RP-T1-3_contig.fa_viral_738__full-cat_2	6	1298	1594	1	E																								0	2	4	False	F
RP-T1-3_contig.fa_viral_738__full-cat_2_7	final-viral-combined-for-dramv	RP-T1-3_contig.fa_viral_738__full-cat_2	7	1587	2456	1	E			YP_010654920.1	YP_010654920.1 hypothetical protein PP513_gp59 [Gordonia phage Howe]	False	0.446	126.0	1.221e-30													VOG08192	sp|P03698|VBET_LAMBD Recombination protein bet; Xr	Xr	0	1	4	False	VF
RP-T1-3_contig.fa_viral_738__full-cat_2_8	final-viral-combined-for-dramv	RP-T1-3_contig.fa_viral_738__full-cat_2	8	2453	2758	1	E																								0	2	3	False	F
RP-T1-3_contig.fa_viral_738__full-cat_2_9	final-viral-combined-for-dramv	RP-T1-3_contig.fa_viral_738__full-cat_2	9	2743	3426	1	D																Protein of unknown function (DUF2800) [PF10926.11]					VOG00510	sp|O64262|VG69_BPMD2 Gene 69 protein; Xu	Xu	0	1	5	False	F
RP-T1-3_contig.fa_viral_741__full-cat_2_1	final-viral-combined-for-dramv	RP-T1-3_contig.fa_viral_741__full-cat_2	1	50	1252	-1	D			YP_010645970.1	YP_010645970.1 IbrA [Streptococcus phage CHPC877]	False	0.37	196.0	1.161e-52								Domain of unknown function (DUF3440) [PF11922.11]; Phosphoadenosine phosphosulfate reductase family [PF01507.22]					VOG01425	sp|P77216|YBDN_ECOLI Uncharacterized protein YbdN; Xu	Xu	0	1	5	False	F
RP-T1-3_contig.fa_viral_741__full-cat_2_2	final-viral-combined-for-dramv	RP-T1-3_contig.fa_viral_741__full-cat_2	2	1349	2110	-1	D																Cupin [PF00190.25]								0	1	3	False	F
RP-T1-3_contig.fa_viral_741__full-cat_2_3	final-viral-combined-for-dramv	RP-T1-3_contig.fa_viral_741__full-cat_2	3	2107	2859	-1	E			YP_004957371.1	YP_004957371.1 ParB-like partition protein [Planktothrix phage PaV-LD]	False	0.443	70.0	2.896e-12													VOG02645	sp|P77174|YBDM_ECOLI Uncharacterized protein YbdM; Xu	Xu	0	1	3	False	F
RP-T1-3_contig.fa_viral_741__full-cat_2_4	final-viral-combined-for-dramv	RP-T1-3_contig.fa_viral_741__full-cat_2	4	2801	3313	-1	E			YP_008240864.1	YP_008240864.1 Holliday junction resolvase [Cellulophaga phage phi19:3]	False	0.374	102.0	6.204e-24													VOG05773	REFSEQ Holliday junction resolvase; Xu	Xu	0	1	4	False	F
RP-T1-3_contig.fa_viral_741__full-cat_2_5	final-viral-combined-for-dramv	RP-T1-3_contig.fa_viral_741__full-cat_2	5	3669	3971	-1	D																'Cold-shock' DNA-binding domain [PF00313.25]								0	2	4	False	F
RP-T1-3_contig.fa_viral_741__full-cat_2_6	final-viral-combined-for-dramv	RP-T1-3_contig.fa_viral_741__full-cat_2	6	3979	4233	-1	E																								0	2	4	False	F
RP-T1-3_contig.fa_viral_741__full-cat_2_7	final-viral-combined-for-dramv	RP-T1-3_contig.fa_viral_741__full-cat_2	7	4237	4872	-1	E																								0	2	5	False	F
RP-T1-3_contig.fa_viral_743__full-cat_2_1	final-viral-combined-for-dramv	RP-T1-3_contig.fa_viral_743__full-cat_2	1	29	2359	-1	D			YP_009834212.1	YP_009834212.1 ribonucleotide reductase [Lentibacter phage vB_LenP_ICBM2]	True	0.457	521.0	2.214e-158								Ribonucleotide reductase, barrel domain [PF02867.18]; ATP cone domain [PF03477.19]; Ribonucleotide reductase alpha domain [PF17975.4]					VOG00122	sp|P00452|RIR1_ECOLI Ribonucleoside-diphosphate reductase 1 subunit alpha; Xh	Xh	0	1	5	False	MKEF
RP-T1-3_contig.fa_viral_743__full-cat_2_2	final-viral-combined-for-dramv	RP-T1-3_contig.fa_viral_743__full-cat_2	2	2594	2698	1	E																								0	2	5	False	F
RP-T1-3_contig.fa_viral_747__full-cat_2_1	final-viral-combined-for-dramv	RP-T1-3_contig.fa_viral_747__full-cat_2	1	247	912	-1	E																								0	2	5	False	F
RP-T1-3_contig.fa_viral_747__full-cat_2_2	final-viral-combined-for-dramv	RP-T1-3_contig.fa_viral_747__full-cat_2	2	984	1160	-1	E																								0	2	4	False	F
RP-T1-3_contig.fa_viral_747__full-cat_2_3	final-viral-combined-for-dramv	RP-T1-3_contig.fa_viral_747__full-cat_2	3	1317	1505	1	D																Helix-turn-helix domain [PF12844.10]; Helix-turn-helix domain [PF13560.9]; Helix-turn-helix [PF01381.25]; Cro/C1-type HTH DNA-binding domain [PF13443.9]								0	1	4	False	F
RP-T1-3_contig.fa_viral_747__full-cat_2_4	final-viral-combined-for-dramv	RP-T1-3_contig.fa_viral_747__full-cat_2	4	1508	3235	1	C	K06400	site-specific DNA recombinase	YP_009837595.1	YP_009837595.1 integrase [Anoxybacillus phage A403]	False	0.31	109.0	2.963e-23								Resolvase, N terminal domain [PF00239.24]; Recombinase zinc beta ribbon domain [PF13408.9]; Recombinase [PF07508.16]					VOG00303	sp|P03014|PINE_ECOLI Serine recombinase PinE; Xr	Xr	0	1	4	False	VF
RP-T1-3_contig.fa_viral_747__full-cat_2_5	final-viral-combined-for-dramv	RP-T1-3_contig.fa_viral_747__full-cat_2	5	3219	3371	-1	E																								0	2	5	False	F
RP-T1-3_contig.fa_viral_755__full-cat_2_1	final-viral-combined-for-dramv	RP-T1-3_contig.fa_viral_755__full-cat_2	1	520	714	1	E																								0	2	5	False	F
RP-T1-3_contig.fa_viral_755__full-cat_2_2	final-viral-combined-for-dramv	RP-T1-3_contig.fa_viral_755__full-cat_2	2	714	887	1	E																								0	2	4	False	F
RP-T1-3_contig.fa_viral_755__full-cat_2_3	final-viral-combined-for-dramv	RP-T1-3_contig.fa_viral_755__full-cat_2	3	868	2166	1	C	K01185	lysozyme [EC:3.2.1.17]	YP_009276376.1	YP_009276376.1 endolysin [Gordonia phage GMA4]	False	0.345	118.0	1.3790000000000002e-26								Phage lysozyme [PF00959.22]	GH24	GH24 lysozyme (EC 3.2.1.17)	3.2.1.17	GH24.hmm				0	1	4	False	F
RP-T1-3_contig.fa_viral_755__full-cat_2_4	final-viral-combined-for-dramv	RP-T1-3_contig.fa_viral_755__full-cat_2	4	2242	2619	1	E																								0	2	4	False	F
RP-T1-3_contig.fa_viral_755__full-cat_2_5	final-viral-combined-for-dramv	RP-T1-3_contig.fa_viral_755__full-cat_2	5	2616	2804	1	E																								0	2	4	False	F
RP-T1-3_contig.fa_viral_755__full-cat_2_6	final-viral-combined-for-dramv	RP-T1-3_contig.fa_viral_755__full-cat_2	6	2804	3391	1	E																								0	2	4	False	F
RP-T1-3_contig.fa_viral_755__full-cat_2_7	final-viral-combined-for-dramv	RP-T1-3_contig.fa_viral_755__full-cat_2	7	3483	3704	1	E																								0	2	4	False	F
RP-T1-3_contig.fa_viral_755__full-cat_2_8	final-viral-combined-for-dramv	RP-T1-3_contig.fa_viral_755__full-cat_2	8	3805	3999	1	E																								0	2	4	False	F
RP-T1-3_contig.fa_viral_755__full-cat_2_9	final-viral-combined-for-dramv	RP-T1-3_contig.fa_viral_755__full-cat_2	9	4011	4226	1	E																								0	2	5	False	F
RP-T1-3_contig.fa_viral_757__full-cat_1_1	final-viral-combined-for-dramv	RP-T1-3_contig.fa_viral_757__full-cat_1	1	1	1653	1	E																								0	2	5	False	F
RP-T1-3_contig.fa_viral_757__full-cat_1_2	final-viral-combined-for-dramv	RP-T1-3_contig.fa_viral_757__full-cat_1	2	1739	2236	1	D			YP_010751694.1	YP_010751694.1 minor tail protein [Microbacterium phage NoodlelyBoi]	False	0.397	106.0	2.235e-25								Phage Tail Collar Domain [PF07484.15]								0	0	4	False	F
RP-T1-3_contig.fa_viral_757__full-cat_1_3	final-viral-combined-for-dramv	RP-T1-3_contig.fa_viral_757__full-cat_1	3	2250	2771	1	D			YP_010749761.1	YP_010749761.1 minor tail protein [Arthrobacter phage Teacup]	False	0.38	104.0	1.056e-24								Phage Tail Collar Domain [PF07484.15]								0	0	4	False	F
RP-T1-3_contig.fa_viral_757__full-cat_1_4	final-viral-combined-for-dramv	RP-T1-3_contig.fa_viral_757__full-cat_1	4	2788	3258	1	D			YP_003969780.1	YP_003969780.1 tail protein [Cafeteria roenbergensis virus BV-PW1]	False	0.33	82.0	3.258e-17								Phage Tail Collar Domain [PF07484.15]								0	2	5	False	F
RP-T1-3_contig.fa_viral_766__full-cat_2_1	final-viral-combined-for-dramv	RP-T1-3_contig.fa_viral_766__full-cat_2	1	3	1274	-1	C	K14059	integrase	YP_010755668.1	YP_010755668.1 tyrosine integrase [Streptomyces phage TurkishDelight]	False	0.351	275.0	1.557e-79								Phage integrase family [PF00589.25]; Phage integrase, N-terminal SAM-like domain [PF14659.9]					VOG00056	sp|P22877|INTR_SACER Integrase; XhXr	Xr;Xh	0	1	5	False	VF
RP-T1-3_contig.fa_viral_766__full-cat_2_2	final-viral-combined-for-dramv	RP-T1-3_contig.fa_viral_766__full-cat_2	2	1271	1519	-1	E			YP_010755666.1	YP_010755666.1 excise [Streptomyces phage TurkishDelight]	False	0.454	62.0	1.251e-11																0	2	4	False	F
RP-T1-3_contig.fa_viral_766__full-cat_2_3	final-viral-combined-for-dramv	RP-T1-3_contig.fa_viral_766__full-cat_2	3	1516	1695	-1	E																								0	2	4	False	F
RP-T1-3_contig.fa_viral_766__full-cat_2_4	final-viral-combined-for-dramv	RP-T1-3_contig.fa_viral_766__full-cat_2	4	1871	2383	1	E																								0	2	4	False	F
RP-T1-3_contig.fa_viral_766__full-cat_2_5	final-viral-combined-for-dramv	RP-T1-3_contig.fa_viral_766__full-cat_2	5	2447	2578	1	E																								0	2	5	False	F
RP-T1-3_contig.fa_viral_767__full-cat_2_1	final-viral-combined-for-dramv	RP-T1-3_contig.fa_viral_767__full-cat_2	1	1	150	1	E																								0	2	5	False	F
RP-T1-3_contig.fa_viral_767__full-cat_2_2	final-viral-combined-for-dramv	RP-T1-3_contig.fa_viral_767__full-cat_2	2	147	494	1	E																								0	2	4	False	F
RP-T1-3_contig.fa_viral_767__full-cat_2_3	final-viral-combined-for-dramv	RP-T1-3_contig.fa_viral_767__full-cat_2	3	491	1021	1	E			YP_006988293.1	YP_006988293.1 hypothetical protein CcrColossus_gp059 [Caulobacter phage CcrColossus]	False	0.345	75.0	1.254e-14													VOG12327	REFSEQ hypothetical protein; Xu	Xu	0	1	4	False	F
RP-T1-3_contig.fa_viral_767__full-cat_2_4	final-viral-combined-for-dramv	RP-T1-3_contig.fa_viral_767__full-cat_2	4	1196	1384	1	E																								0	2	3	False	F
RP-T1-3_contig.fa_viral_767__full-cat_2_5	final-viral-combined-for-dramv	RP-T1-3_contig.fa_viral_767__full-cat_2	5	1384	1554	1	E																								0	2	3	False	F
RP-T1-3_contig.fa_viral_767__full-cat_2_6	final-viral-combined-for-dramv	RP-T1-3_contig.fa_viral_767__full-cat_2	6	1570	1881	1	E																								0	2	3	False	F
RP-T1-3_contig.fa_viral_767__full-cat_2_7	final-viral-combined-for-dramv	RP-T1-3_contig.fa_viral_767__full-cat_2	7	1878	2258	1	D			YP_009329231.1	YP_009329231.1 GTP-binding domain [Cedratvirus A11]	False	0.474	107.0	2.4760000000000003e-26								YspA, cpYpsA-related SLOG family [PF10686.12]								0	1	4	False	F
RP-T1-3_contig.fa_viral_767__full-cat_2_8	final-viral-combined-for-dramv	RP-T1-3_contig.fa_viral_767__full-cat_2	8	2403	2525	1	E																								0	2	5	False	F
RP-T1-3_contig.fa_viral_769__full-cat_2_1	final-viral-combined-for-dramv	RP-T1-3_contig.fa_viral_769__full-cat_2	1	152	343	-1	D																Protein of unknown function (DUF551) [PF04448.15]								0	2	5	False	F
RP-T1-3_contig.fa_viral_769__full-cat_2_2	final-viral-combined-for-dramv	RP-T1-3_contig.fa_viral_769__full-cat_2	2	398	712	-1	E																								0	2	4	False	F
RP-T1-3_contig.fa_viral_769__full-cat_2_3	final-viral-combined-for-dramv	RP-T1-3_contig.fa_viral_769__full-cat_2	3	709	3081	-1	E			YP_005087057.1	YP_005087057.1 virion structural protein [Rhodococcus phage REQ2]	False	0.252	76.0	1.487e-12													VOG02680	REFSEQ virion structural protein; Xu	Xu	0	1	4	False	F
RP-T1-3_contig.fa_viral_769__full-cat_2_4	final-viral-combined-for-dramv	RP-T1-3_contig.fa_viral_769__full-cat_2	4	3114	3392	-1	E																								0	2	3	False	F
RP-T1-3_contig.fa_viral_769__full-cat_2_5	final-viral-combined-for-dramv	RP-T1-3_contig.fa_viral_769__full-cat_2	5	3389	3748	-1	E																								0	2	3	False	F
RP-T1-3_contig.fa_viral_769__full-cat_2_6	final-viral-combined-for-dramv	RP-T1-3_contig.fa_viral_769__full-cat_2	6	3745	4047	-1	D																Tryptophan RNA-binding attenuator protein inhibitory protein [PF15777.8]								0	1	3	False	F
RP-T1-3_contig.fa_viral_769__full-cat_2_7	final-viral-combined-for-dramv	RP-T1-3_contig.fa_viral_769__full-cat_2	7	4047	4985	-1	E																								0	2	3	False	F
RP-T1-3_contig.fa_viral_769__full-cat_2_8	final-viral-combined-for-dramv	RP-T1-3_contig.fa_viral_769__full-cat_2	8	4989	5597	-1	E																								0	2	3	False	F
RP-T1-3_contig.fa_viral_769__full-cat_2_9	final-viral-combined-for-dramv	RP-T1-3_contig.fa_viral_769__full-cat_2	9	5597	5896	-1	E																								0	2	3	False	F
RP-T1-3_contig.fa_viral_769__full-cat_2_10	final-viral-combined-for-dramv	RP-T1-3_contig.fa_viral_769__full-cat_2	10	5916	6173	-1	E																								0	2	3	False	F
RP-T1-3_contig.fa_viral_769__full-cat_2_11	final-viral-combined-for-dramv	RP-T1-3_contig.fa_viral_769__full-cat_2	11	6170	6577	-1	E																								0	2	3	False	F
RP-T1-3_contig.fa_viral_769__full-cat_2_12	final-viral-combined-for-dramv	RP-T1-3_contig.fa_viral_769__full-cat_2	12	6552	7445	-1	E			YP_009094899.1	YP_009094899.1 conserved putative glycosyltransferase [Melbournevirus]	False	0.226	76.0	7.242e-14													VOG16531	REFSEQ putative glycosyltransferase; Xu	Xu	0	1	3	False	F
RP-T1-3_contig.fa_viral_769__full-cat_2_13	final-viral-combined-for-dramv	RP-T1-3_contig.fa_viral_769__full-cat_2	13	7429	8145	-1	D																GNT-I family [PF03071.18]; Glycosyltransferase like family 2 [PF13641.9]								0	1	3	False	F
RP-T1-3_contig.fa_viral_769__full-cat_2_14	final-viral-combined-for-dramv	RP-T1-3_contig.fa_viral_769__full-cat_2	14	8142	9464	-1	D			YP_009213163.1	YP_009213163.1 B12-binding domain-containing radical SAM protein [Streptomyces phage SF3]	False	0.258	86.0	2.324e-16								Radical SAM superfamily [PF04055.24]; B12 binding domain [PF02310.22]								0	1	4	False	F
RP-T1-3_contig.fa_viral_769__full-cat_2_15	final-viral-combined-for-dramv	RP-T1-3_contig.fa_viral_769__full-cat_2	15	9461	10096	-1	E																								0	2	4	False	F
RP-T1-3_contig.fa_viral_769__full-cat_2_16	final-viral-combined-for-dramv	RP-T1-3_contig.fa_viral_769__full-cat_2	16	10093	10533	-1	E																								0	2	5	False	F
RP-T1-3_contig.fa_viral_770__full-cat_2_1	final-viral-combined-for-dramv	RP-T1-3_contig.fa_viral_770__full-cat_2	1	26	352	-1	E																								0	2	5	False	F
